fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,unique_session_id,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_label,eCommerceAction_step,eCommerceAction_option
00122544416887869,Direct,734490,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,2,27180000,,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, LG,USD,,,Checkout Your Information,,/yourinfo.html,5,Check out,1,Billing and Shipping
00122544416887869,Direct,734490,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,3,40770000,,GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, MD,USD,,,Checkout Your Information,,/yourinfo.html,5,Check out,1,Billing and Shipping
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0619,Google Infant Short Sleeve Tee Royal Blue,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0622,Google Infant Short Sleeve Tee White,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,19190000,,GGOEGAAX0617,Android Onesie Gold,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,9590000,,GGOEGKWR060810,Google Bib Red,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0625,Android Infant Short Sleeve Tee Pewter,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0618,Google Infant Short Sleeve Tee Red,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0626,Android Infant Short Sleeve Tee Pink,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,9590000,,GGOEGKWQ060910,Google Bib White,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,19190000,,GGOEGAAX0610,Google Onesie Red/Graphite,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,284966,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0620,Google Infant Short Sleeve Tee Green,Home/Apparel/Kid's/Kid's-Infant/,(not set),USD,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
00122544416887869,Direct,564034,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,3,40770000,,GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, MD,USD,,,Checkout Your Information,,/yourinfo.html,5,Check out,1,Billing and Shipping
00122544416887869,Direct,564034,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,1,13590000,,GGOEGAWQ062250,Google Infant Short Sleeve Tee White,Apparel, 18M,USD,,,Checkout Your Information,,/yourinfo.html,5,Check out,1,Billing and Shipping
00122544416887869,Direct,564034,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,2,27180000,,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, LG,USD,,,Checkout Your Information,,/yourinfo.html,5,Check out,1,Billing and Shipping
00122544416887869,Direct,292960,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,13590000,,GGOEGAAX0618,Google Infant Short Sleeve Tee Red,Home/Apparel/Kid's/Kid's-Infant/,(not set),,,,Infant | Kids' Apparel | Google Merchandise Store,,/google+redesign/,2,Product detail views,1,
00122544416887869,Direct,971361,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,3,13590000,42770000,GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, MD,USD,87540000,ORD201708012516,Checkout Confirmation,,/ordercompleted.html,6,Completed purchase,1,
00122544416887869,Direct,971361,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,1,13590000,15590000,GGOEGAWQ062250,Google Infant Short Sleeve Tee White,Apparel, 18M,USD,87540000,ORD201708012516,Checkout Confirmation,,/ordercompleted.html,6,Completed purchase,1,
00122544416887869,Direct,971361,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,2,13590000,29180000,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, LG,USD,87540000,ORD201708012516,Checkout Confirmation,,/ordercompleted.html,6,Completed purchase,1,
00122544416887869,Direct,57697,United States,not available in demo dataset,87540000,1,996,24,80,8/1/2017 0:00:00,1501646806,001225444168878691501646806,PAGE,,,23990000,,GGOEGAAX0353,Google Vintage Henley Grey/Black,Home/Apparel/Men's/Men's-T-Shirts/,(not set),USD,,,Men's T-Shirts | Apparel | Google Merchandise Store,,/google+redesign/,0,Unknown,1,
