date,store,category,vendor_no,item,state_btl_cost,btl_price,bottle_qty,total
2014-01-09,4729,1051100,350,54446,5.48,8.22,12,98.64
2014-01-09,4829,1051100,434,54057,6.38,9.56,2,19.12
2014-01-09,4829,1081380,55,84166,9.5,14.25,2,28.5
2014-01-09,4829,1081365,421,83907,4.54,6.81,12,81.72
2014-01-09,4829,1081400,350,86507,3.75,5.62,2,11.24
2014-01-09,4856,1051100,350,54446,5.48,8.22,3,24.66
2014-01-09,4881,1011250,65,19235,24.67,37.01,1,37.01
2014-01-09,4889,1081400,65,86112,2.22,3.33,1,3.33
2014-01-09,4939,1011250,184,18350,20.17,30.26,2,60.52
2014-01-09,4939,1062050,305,42244,9.42,14.13,2,28.26
2014-01-09,4939,1062050,305,42240,9.42,14.13,2,28.26
2014-01-09,4939,1051100,350,54444,3.55,5.33,3,15.99
2014-01-09,4958,1011400,65,16416,9.97,14.95,3,44.85
2014-01-09,4959,1081015,305,64136,13.86,20.79,4,83.16
2014-01-09,4959,1081355,350,84496,4.09,6.14,12,73.68
2014-01-09,4969,1062050,305,42242,9.42,14.13,2,28.26
2014-01-09,4971,1062050,205,42437,6.49,10.49,4,41.96
2014-01-09,4971,1051100,350,54446,5.48,8.22,4,32.88
2014-01-09,4971,1081400,350,86506,3.33,4.99,4,19.96
2014-01-09,4971,1081355,350,84496,4.09,6.14,4,24.56
2014-01-09,4971,1081315,65,82881,6.77,10.15,4,40.6
2014-01-09,2130,1051100,434,54057,6.38,9.56,12,114.72
2014-01-09,2190,1051120,350,55506,5.48,8.22,2,16.44
2014-01-09,2248,1011250,184,18350,20.17,30.26,6,181.56
2014-01-09,2248,1041150,110,32650,22.09,33.14,3,99.42
2014-01-09,2248,1062050,389,42666,9.5,14.25,12,171
2014-01-09,2248,1081250,350,79816,4.65,6.97,4,27.88
2014-01-09,2285,1081400,350,86506,3.33,4.99,12,59.88
2014-01-09,2448,1081400,55,86390,2.13,3.19,1,3.19
2014-01-09,2487,1051100,350,54446,5.48,8.22,2,16.44
2014-01-09,2487,1051100,55,54436,4.5,6.74,2,13.48
2014-01-09,2487,1081315,65,82881,6.77,10.15,1,10.15
2014-01-09,2487,1081250,350,79816,4.65,6.97,1,6.97
2014-01-09,2509,1051100,55,54436,4.5,6.74,12,80.88
2014-01-09,4138,1051100,350,54446,5.48,8.22,3,24.66
2014-01-09,4057,1081400,434,86251,2.21,3.31,12,39.72
2014-01-09,3926,1081400,55,86390,2.13,3.19,24,76.56
2014-01-09,3925,1011250,184,18350,20.17,30.26,6,181.56
2014-01-09,3756,1051100,55,54436,4.5,6.74,1,6.74
2014-01-09,3692,1081400,434,86251,2.21,3.31,12,39.72
2014-01-09,2955,1041150,370,33256,6.49,9.74,6,58.44
2014-01-09,2954,1051100,350,54446,5.48,8.22,3,24.66
2014-01-09,2633,1081400,434,86251,2.21,3.31,84,278.04
2014-01-09,2633,1081355,350,84496,4.09,6.14,12,73.68
2014-01-09,2633,1062050,305,42242,9.42,14.13,4,56.52
2014-01-09,2627,1081400,434,86251,2.21,3.31,2,6.62
2014-01-09,2627,1081400,350,86310,3,4.5,1,4.5
2014-01-09,2627,1051100,55,54436,4.5,6.74,1,6.74
2014-01-09,2627,1081380,260,67296,9.25,13.88,2,27.76
2014-01-09,2626,1081240,434,79026,4.5,6.75,3,20.25
