avg_revenue,avg_expenses,np_count,year_filled,avg_income
7952843.4174676631,7411628.8044009963,294782,2015,541214.61306666676
7515041.2558374861,6979378.6488771252,299405,2014,535662.60696036089
7938932.44589112,7446167.2972234618,307483,2016,492765.14866765775
8316693.9949349845,7931375.59450976,300910,2017,385318.40042522456
7419203.0321713807,7045596.2948138453,289603,2013,373606.7373575354
