productSKU,name,stockLevel,ratio,restockingLeadTime,total_ordered
GGOEGAAX0313," Tri-blend Hoodie Grey",101,0.10891089108910891,15,11
GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,449,0.024498886414253896,13,11
GGOEGBRJ037399," Rucksack",228,0.04824561403508772,5,11
GGOEYAAJ033015," Men's Long & Lean Tee Charcoal",33,0.3333333333333333,10,11
GGOEGAAQ010415," Men's 100% Cotton Short Sleeve Hero Tee White",335,0.03283582089552239,9,11
GGOEGESB015099,Basecamp Explorer Powerbank Flashlight,306,0.03594771241830065,14,11
GGOEGFAQ016699,Bottle Opener Clip,381,0.028871391076115485,10,11
GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,142,0.07042253521126761,12,10
GGOENEBD084799," Learning Thermostat 3rd Gen-USA - Copper",564,0.01773049645390071,9,10
GGOEGAAQ010413," Men's 100% Cotton Short Sleeve Hero Tee White",167,0.059880239520958084,7,10
GGOEGAAL010613," Men's 100% Cotton Short Sleeve Hero Tee Navy",37,0.2702702702702703,16,10
GGOEGESQ016799,Plastic Sliding Flashlight,2561,0.003904724716907458,14,10
GGOEGCNB021099,Seat Pack Organizer,304,0.029605263157894735,11,9
GGOEGAAB033815," Men's Vintage Badge Tee Black",578,0.015570934256055362,13,9
GGOEYHPB072210," Twill Cap",1997,0.004506760140210316,2,9
GGOEGAEJ031314," Tri-blend Hoodie Grey",45,0.2,17,9
GGOEGAYB068026," Youth Baseball Raglan Heather/Black",21,0.38095238095238093,16,8
GGOENEBJ081899," Learning Thermostat 3rd Gen - CA - Stainless Steel",69,0.11594202898550725,14,8
GGOEGAEJ028013," Women's Short Sleeve Hero Tee Grey",117,0.06837606837606838,6,8
GGOEGALB036514," Women's Scoop Neck Tee Black",154,0.05194805194805195,5,8
GGOEGAAJ080615," Men's Bike Short Sleeve Tee Charcoal",129,0.06201550387596899,5,8
GGOEGAAJ032716," Men's Long & Lean Tee Grey",26,0.3076923076923077,17,8
GGOEAAEJ033413,Android Men's Long Sleeve Badge Crew Tee Heather,43,0.18604651162790697,14,8
GGOEGAAX0318," Men's Short Sleeve Hero Tee Black",275,0.02909090909090909,6,8
GGOEAAEJ033414,Android Men's Long Sleeve Badge Crew Tee Heather,95,0.08421052631578947,13,8
GGOEGALB034114," Women's Vintage Hero Tee Black",155,0.04516129032258064,8,7
GGOEGAAX0690," Youth Short Sleeve Tee White",31,0.22580645161290322,19,7
GGOEAAWJ062548,Android Infant Short Sleeve Tee Pewter,2,3.5,14,7
GGOEGAAX0795,25L Classic Rucksack,114,0.06140350877192982,6,7
GGOEGHPB080410," 5-Panel Snapback Cap",219,0.0319634703196347,8,7
GGOEGALQ036616," Women's Scoop Neck Tee White",27,0.25925925925925924,14,7
GGOEGAWR061848," Infant Short Sleeve Tee Red",18,0.3888888888888889,19,7
GGOEGKWR060810," Bib Red",44,0.1590909090909091,15,7
GGOENEBQ084699," Learning Thermostat 3rd Gen-USA - White",1142,0.006129597197898424,5,7
GGOEGKWQ060910," Bib White",116,0.0603448275862069,6,7
GGOEGATB060213," Women's 1/4 Zip Performance Pullover Black",35,0.2,14,7
GGOEAAAQ032013,Android Men's Short Sleeve Hero Tee White,95,0.06315789473684211,15,6
GGOEGAAX0341," Women's Vintage Hero Tee Black",332,0.018072289156626505,19,6
GGOEGAAJ032313," Men's Short Sleeve Hero Tee Charcoal",61,0.09836065573770492,8,6
GGOEGAAJ032616," Men's Short Sleeve Badge Tee Charcoal",48,0.125,8,6
GGOEGAEJ028015," Women's Short Sleeve Hero Tee Grey",138,0.043478260869565216,16,6
GGOEGAAX0364," Women's Tee Grey",40,0.15,13,6
GGOEGAAX0325," Men's Short Sleeve Hero Tee Charcoal",104,0.057692307692307696,12,6
GGOEGOBC078699," Luggage Tag",713,0.008415147265077139,13,6
GGOEGALL074614," Women's Short Sleeve Badge Tee Navy",31,0.1935483870967742,19,6
GGOEGAAB010514," Men's 100% Cotton Short Sleeve Hero Tee Black",1101,0.005449591280653951,10,6
GGOEGCKQ013199,1 oz Hand Sanitizer,679,0.008836524300441826,3,6
GGOEAAEJ033415,Android Men's Long Sleeve Badge Crew Tee Heather,92,0.06521739130434782,8,6
GGOEWFKA082999," Baby on Board Window Decal",415,0.014457831325301205,11,6
GGOEGAAJ032614," Men's Short Sleeve Badge Tee Charcoal",97,0.061855670103092786,5,6
GGOEGAAX0617,Android Onesie Gold,53,0.11320754716981132,6,6
GGOEGAAX0671," Toddler Short Sleeve Tee White",40,0.15,10,6
GGOEGBRA037499,Waterproof Backpack,230,0.021739130434782608,10,5
GGOEGFQB013799,Compact Selfie Stick,297,0.016835016835016835,7,5
GGOEGAXQ067129," Toddler Short Sleeve Tee White",12,0.4166666666666667,5,5
GGOEGDWR015799,Red Shine 15 oz Mug,1417,0.0035285815102328866,20,5
GGOEGXXX0806," Men's Bike Short Sleeve Tee Charcoal",12,0.4166666666666667,7,5
GGOEAAEJ035714,Android Men's Vintage Tank,64,0.078125,15,5
GGOEGAAX0680," Youth Baseball Raglan Heather/Black",28,0.17857142857142858,13,5
GGOEYAAJ032515," Men's Short Sleeve Hero Tee Charcoal",33,0.15151515151515152,18,5
GGOEGALQ034213," Women's Vintage Hero Tee White",94,0.05319148936170213,6,5
GGOEGGCX056299,Gift Card - $25.00,107,0.04672897196261682,10,5
GGOEGCBC074299," Device Stand",195,0.02564102564102564,15,5
GGOEAXXX0808,Android Men's Engineer Short Sleeve Tee Charcoal,55,0.09090909090909091,11,5
GGOEGAYQ069025," Youth Short Sleeve Tee White",11,0.45454545454545453,7,5
GGOEWFKA083199," Mood Original Window Decal",66,0.07575757575757576,8,5
GGOEGAER029713," Women's Short Sleeve Hero Tee Red Heather",25,0.2,17,5
GGOEGCMB020932,Suitcase Organizer Cubes,342,0.014619883040935672,7,5
GGOEGAAX0279," Women's Short Sleeve Hero Tee White",41,0.0975609756097561,5,4
GGOEGALB036515," Women's Scoop Neck Tee Black",62,0.06451612903225806,13,4
GGOEGADJ056814," Men's Watershed Full Zip Hoodie Grey",57,0.07017543859649122,9,4
GGOEGALB034115," Women's Vintage Hero Tee Black",213,0.018779342723004695,9,4
GGOEGAAX0299," Women's V-Neck Tee Charcoal",77,0.05194805194805195,8,4
GGOEAAAJ080814,Android Men's Engineer Short Sleeve Tee Charcoal,22,0.18181818181818182,6,4
GGOEWEBB082699," Mobile Phone Vent Mount",129,0.031007751937984496,15,4
GGOEGAXQ067155," Toddler Short Sleeve Tee White",9,0.4444444444444444,15,4
