date_formatted,fullvisitorId
3/31/2017,0625596387957973239
3/31/2017,664134029334792369
3/31/2017,8417609519438631738
3/31/2017,3911990789369670549
3/31/2017,3418086658463449379
3/31/2017,5049527887001967358
3/31/2017,7842870393513561199
3/31/2017,5413497526864769809
3/31/2017,3186996136926964956
3/31/2017,4142977955666799792
3/31/2017,5695875295918269151
3/31/2017,4296997906709979664
3/31/2017,9051004780084659935
3/31/2017,7175100828625546261
3/31/2017,3746909109129287507
3/31/2017,6428761163255691160
3/31/2017,1900860815673587826
3/31/2017,5257797644310129785
3/31/2017,354897802426513779
3/31/2017,7853375019950702373
3/31/2017,995572509563606825
3/31/2017,6664236687306813132
3/31/2017,0794407615767066108
3/31/2017,4070910490577628591
3/31/2017,3431729556632347284
3/31/2017,7491279905842646968
3/31/2017,6907900104112472715
3/31/2017,9749430423852309204
3/31/2017,122029296570231623
3/31/2017,5969740179463721922
3/31/2017,8986381655962363421
3/31/2017,1234150962033619585
3/31/2017,7568217617628609565
3/31/2017,5891329999902410762
3/31/2017,2045959658528778410
3/31/2017,1786049962952279462
3/31/2017,694147117956865576
3/31/2017,1458513116060609173
3/31/2017,1862820292998379904
3/31/2017,232719961527606998
3/31/2017,3425250853966542706
3/31/2017,9165541347000352146
3/31/2017,3836999416058295619
3/31/2017,7570656461963167943
3/31/2017,9582254288583689507
3/31/2017,9369028218844821554
3/31/2017,9643794309342892536
3/31/2017,446998061710747976
3/31/2017,7661445505938301286
3/31/2017,415261200768439826
3/31/2017,8678514065663089431
3/31/2017,6940693692816251058
3/31/2017,5543549077086546306
3/31/2017,6366706402085861005
3/31/2017,837781386236451719
3/31/2017,9857558791652332478
3/31/2017,7490559314010135637
3/31/2017,6796156592783291606
3/31/2017,6483087231178637096
3/31/2017,9453087819922263307
3/31/2017,5234977399317108296
3/31/2017,0776172959818357482
3/31/2017,1155538252818263267
3/31/2017,5902166649643452776
3/31/2017,8702593890085994198
3/31/2017,6916157298089959208
3/31/2017,9111174965141945296
3/31/2017,2842763542483964849
3/31/2017,6547813753591799288
3/31/2017,4711314422510816354
3/31/2017,8721258923002431921
3/31/2017,3457501221064206994
3/31/2017,0663247382312683174
3/31/2017,8911864641874934836
3/31/2017,2519234809980194695
3/31/2017,622698787910411653
3/31/2017,3268575970168875428
3/31/2017,1618882997503531440
3/31/2017,9983994040276552184
3/31/2017,4791266178891745429
3/31/2017,4050334074493854989
3/31/2017,4481244542644942114
3/31/2017,5255870463478643874
3/31/2017,116588686645273468
3/31/2017,1665162310964113256
3/31/2017,2002382513785079796
3/31/2017,7995835258215603029
3/31/2017,856463513443144738
3/31/2017,7679202624396689511
3/31/2017,757602300033750896
3/31/2017,1601922786300562681
3/31/2017,3079963201825089169
3/31/2017,4080275155760695849
3/31/2017,7304065405565941305
3/31/2017,8535786505143380792
3/31/2017,3540987747193457190
3/31/2017,3443220448839158478
3/31/2017,5252841390056268147
3/31/2017,5656644173714002253
3/31/2017,408637206576268776
3/31/2017,3053688223431493183
3/31/2017,8195048173263949901
3/31/2017,9559375112682307922
3/31/2017,735190007218901065
3/31/2017,3367914353419758691
3/31/2017,8078491884885348722
3/31/2017,5640670034092250095
3/31/2017,8224894816149676118
3/31/2017,0479813800667207298
3/31/2017,1035488859091703866
3/31/2017,0100912729849894624
3/31/2017,1539538106590930311
3/31/2017,9287573630801562044
3/31/2017,1470909659946190225
3/31/2017,3950725156630195919
3/31/2017,8913545354078351659
3/31/2017,5262421212308934478
3/31/2017,4728894580873234003
3/31/2017,7579232572420785781
3/31/2017,0402732525249623716
3/31/2017,0864847582226916144
3/31/2017,9452408493149982515
3/31/2017,9294263626578407319
3/31/2017,4744198689240836517
3/31/2017,8113665456552315880
3/31/2017,8883713084891694673
3/31/2017,3019484342230204878
3/31/2017,0617242624024854479
3/31/2017,9783377443629261502
3/31/2017,2655336248262990042
3/31/2017,4378122582829503493
3/31/2017,5362136836473552180
3/31/2017,4751695094452174494
3/31/2017,3431951880614636247
3/31/2017,1330563950465901266
3/31/2017,1613974644320385604
3/31/2017,7267980149445646720
3/31/2017,134088266984701296
3/31/2017,8717163287210484656
3/31/2017,1505959499148956557
3/31/2017,7579594583112652347
3/31/2017,3502674247523923475
3/31/2017,3017915638356543654
3/31/2017,9842597635754389575
3/31/2017,8075101526612837370
3/31/2017,1367431600369931775
3/31/2017,8614591021380664025
3/31/2017,8497418726933156013
3/31/2017,577954895587538039
3/31/2017,3630298897411693752
3/31/2017,1971879185768782326
3/31/2017,5438008470160894903
3/31/2017,2865017243883166191
3/31/2017,039211025317048154
3/31/2017,6086133032683144248
3/31/2017,5486028472834121567
3/31/2017,7806175173161172124
3/31/2017,6768878487636682792
3/31/2017,2713010064221881851
3/31/2017,6373012350319670048
3/31/2017,9762701249771386215
3/31/2017,8422682286544097224
3/31/2017,5437054863362974353
3/31/2017,5323425607086406165
3/31/2017,9565343920281324878
3/31/2017,1770487052386066322
3/31/2017,1240983031481844784
3/31/2017,9761554022401117941
3/31/2017,4110686430344469119
3/31/2017,3911226522747735841
3/31/2017,4847820435788739666
3/31/2017,0914703355524423527
3/31/2017,2489213871013665019
3/31/2017,287869270167380115
3/31/2017,8159992270596420329
3/31/2017,2346486167154882503
3/31/2017,1579755862181124198
3/31/2017,9394085797869490064
3/31/2017,1234556543436163322
3/31/2017,4265368302748322343
3/31/2017,0586349590519411911
3/31/2017,829650404072476006
3/31/2017,6421325029069318607
3/31/2017,612607304512894758
3/31/2017,1673048067734322847
3/31/2017,6658065818028361552
3/31/2017,4164473648754347751
3/31/2017,3749010381555994822
3/31/2017,4165860818571495007
3/31/2017,1992962296639206588
3/31/2017,1584951715800194965
3/31/2017,9934054073316603377
3/31/2017,0490801051930516885
3/31/2017,5794022572457170519
3/31/2017,6447948561971965803
3/31/2017,7003213280139536825
3/31/2017,4625120055692179555
3/31/2017,0819026182119991374
3/31/2017,0496700699743928278
3/31/2017,5112569179397332964
3/31/2017,6523835311193367758
3/31/2017,5723173168368561076
3/31/2017,8146712928842248230
3/31/2017,3084415991108433215
3/31/2017,8059186426461640391
3/31/2017,3697825790083716939
3/31/2017,7462775531275606549
3/31/2017,4314884594909568740
3/31/2017,1416696913906558947
3/31/2017,9599453722237439111
3/31/2017,0485060944694606319
3/31/2017,2890701389016364989
3/31/2017,4361320547858871524
3/31/2017,7347925447338164715
3/31/2017,576564046065174905
3/31/2017,911765800230450744
3/31/2017,6779190524343210935
3/31/2017,594713409727487102
3/31/2017,6512655210812164771
3/31/2017,7262241269732348903
3/31/2017,1024061375252127552
3/31/2017,3432305018825717743
3/31/2017,5388347782549429475
3/31/2017,7777705446411400601
3/31/2017,3684058264065196362
3/31/2017,6872964880078518053
3/31/2017,1058336521623926262
3/31/2017,2086945419158826123
3/31/2017,591850237397595820
3/31/2017,5581396934897208641
3/31/2017,0326444133692994283
3/31/2017,7806119771798982674
3/31/2017,127583172358327854
3/31/2017,4213100232728138054
3/31/2017,3581430511768522445
3/31/2017,3152099898908342698
3/31/2017,6706757487740617781
3/31/2017,6745908422329593151
3/31/2017,2485569395492529473
3/31/2017,9693876866853608062
3/31/2017,1852474862116270404
3/31/2017,2730005283347697815
3/31/2017,8100433527940701760
3/31/2017,1885470721974332932
3/31/2017,5524761850105138121
3/31/2017,7407361820143750671
3/31/2017,2397388755897739663
3/31/2017,848056005472327761
3/31/2017,8802635862318812711
3/31/2017,7411228922576487569
